Terremoti (anno),Geni,mexicodoug,nixonrichard,aletoledo,Terremoti dal 1800 (giorni dall'anno 0)
735,193521,1193159638,1194232337,1193015007,669749
740,194903,1193163029,1194232929,1193015372,669761
742,195785,1193163562,1194242940,1193016283,669827
743,196546,1193165939,1194243043,1193016536,669840
743,197928,1193171908,1194243080,1193016804,669869
744,200482,1193172016,1194250159,1193016914,669888
745,200971,1193172829,1194250558,1193017297,669907
745,200971,1193232606,1194250848,1193017398,669912
746,202101,1193233372,1194285193,1193017772,669929
748,202560,1193236338,1194286650,1193018256,669942
749,203348,1193243394,1194286950,1193018371,669969
758,204493,1193313037,1194288939,1193018467,669989
763,205126,1193313303,1194289587,1193018672,670010
766,208621,1193317145,1194292742,1193018735,670011
777,209679,1193317379,1194328084,1193019243,670090
778,211850,1193318661,1194461158,1193019981,670148
778,212331,1193320502,1194462901,1193020359,670153
780,213678,1193322643,1194464015,1193022189,670283
788,213925,1193416215,1194464638,1193022278,670341
793,214291,1193416373,1194465135,1193022397,670433
796,214833,1193416618,1194466211,1193022543,670466
801,215269,1193419503,1194721312,1193022599,670515
802,216179,1193419710,1194739323,1193022855,670534
803,217057,1193423625,1194755080,1193023699,670664
811,218887,1193424217,1194755116,1193023809,670713
814,219591,1193425861,1194755796,1193023942,670759
818,220113,1193426340,1194755845,1193025460,670782
818,220968,1193427471,1194756665,1193057551,670919
820,221614,1193427976,1194756887,1193057650,670927
835,222833,1193428330,1194810248,1193058150,670965
838,223771,1193428584,1194810922,1193058429,671065
842,225381,1193430897,1194811094,1193058930,671176
844,225500,1193431320,1194811278,1193059392,671183
845,225759,1193431915,1194811466,1193059538,671214
846,228756,1193432069,1194811723,1193059819,671233
847,228928,1193433514,1194830500,1193060021,671252
847,229167,1193433826,1194842714,1193060323,671271
847,229967,1193434600,1194917809,1193061075,671286
850,229967,1193440881,1194931208,1193061908,671292
850,231122,1193441245,1194931365,1193062010,671330
851,231926,1193441746,1194932064,1193062228,671352
853,232597,1193442497,1194972757,1193064900,671456
854,234027,1193443146,1194974716,1193066196,671480
854,234798,1193469269,1194974889,1193067067,671705
854,235535,1193470274,1194975125,1193067766,671731
855,236067,1193470477,1194975193,1193068063,671747
856,236931,1193470704,1194975378,1193070081,671754
856,237335,1193470979,1194975608,1193070777,671776
856,238746,1193471270,1194976160,1193070951,671777
856,239419,1193530742,1194976263,1193071244,671796
857,240343,1193530939,1194976426,1193071463,671815
858,240859,1193532002,1194976494,1193071897,671871
858,243543,1193534678,1194978776,1193072465,671920
859,244327,1193534858,1194979035,1193072641,672064
860,245065,1193535094,1194980587,1193074016,672088
863,245961,1193535933,1194991987,1193074201,672104
863,246242,1193535982,1194992953,1193074361,672142
863,246712,1193537464,1195086903,1193074503,672242
863,247637,1193537610,1195088262,1193074976,672297
864,248358,1193539594,1195110800,1193075292,672360
867,250042,1193540327,1195117941,1193075815,672371
869,250898,1193540850,1195230496,1193077418,672562
871,252005,1193542495,1195230651,1193077490,672590
876,252301,1193543909,1195230925,1193077923,672667
881,252709,1193544411,1195231516,1193078889,672751
885,253467,1193545590,1195233508,1193080227,672771
887,253702,1193546045,1195236967,1193080305,672792
887,254259,1193546704,1195237105,1193080491,672839
891,255977,1193547315,1195321168,1193080974,672898
893,256527,1193549077,1195321460,1193082762,672917
894,257829,1193549409,1195321836,1193082897,672951
896,258269,1193552909,1195321926,1193083030,673091
896,258269,1193554323,1195321972,1193083945,673101
898,259612,1193605498,1195322049,1193085762,673128
910,260727,1193615566,1195343620,1193086284,673160
912,262095,1193615750,1195356130,1193087868,673186
922,262552,1193617865,1195369527,1193091443,673192
942,262914,1193618904,1195416969,1193093421,673193
942,263480,1193619194,1195421400,1193096344,673246
943,263972,1193621301,1195495592,1193096717,673263
951,264528,1193622065,1195496006,1193097635,673270
953,264844,1193688492,1195496173,1193097904,673343
956,265334,1193689032,1195496894,1193098171,673443
957,266408,1193689376,1195533497,1193099109,673502
957,267321,1193696520,1195575238,1193099398,673627
958,267321,1193697347,1195575670,1193101997,673642
958,268513,1193700224,1195576456,1193104476,673653
963,269466,1193700374,1195576998,1193104700,673654
972,269827,1193703021,1195577191,1193105601,673732
977,271054,1193703467,1195577393,1193106500,673761
978,272086,1193774779,1195577812,1193108609,673810
985,273325,1193775424,1195577913,1193108699,673917
986,274525,1193794643,1195578287,1193108953,673924
990,275939,1193795061,1195579041,1193109314,673928
991,276980,1193795673,1195579568,1193145018,673935
999,278038,1193810814,1195579626,1193146450,673955
999,278402,1193812122,1195580312,1193147473,673983
1000,278824,1193812970,1195581140,1193148377,674040
1000,279609,1193813499,1195581674,1193150188,674055
1001,280053,1193814113,1195584833,1193150417,674071
1001,281481,1193814442,1195586504,1193151538,674167
1003,282425,1193815470,1195608154,1193152182,674237
1003,284619,1193817631,1195608511,1193152552,674276
1007,286013,1193817947,1195609126,1193154109,674312
1008,287628,1193822416,1195682827,1193154594,674324
1010,288525,1193823296,1195702551,1193156075,674411
1013,289873,1193824960,1195702938,1193156464,674429
1021,290295,1193826648,1195703636,1193163033,674468
1022,290724,1193828256,1195706171,1193176082,674475
1026,291546,1193829248,1195721217,1193178137,674591
1033,292444,1193830825,1195747949,1193179916,674684
1036,293169,1193833217,1195967130,1193237498,674744
1037,294363,1193836702,1195968292,1193255189,674759
1038,294920,1193837336,1195969213,1193258454,674787
1039,296605,1193899682,1196017859,1193258980,674833
1040,296994,1193901213,1196018245,1193259555,674888
1042,297960,1193901311,1196102512,1193263387,674894
1042,300155,1193901582,1196103758,1193265882,674905
1045,301108,1193902521,1196105496,1193266051,674917
1046,302215,1193905663,1196105567,1193266776,674932
1048,303077,1193907262,1196145870,1193270889,674965
1052,303719,1193909026,1196146565,1193274425,674993
1052,304398,1193911712,1196183930,1193331464,675012
1057,306031,1193912575,1196185257,1193331584,675133
1058,308582,1193913015,1196393474,1193332358,675174
1063,309308,1193913517,1196642738,1193332667,675267
1063,309970,1193914069,1196643172,1193332917,675269
1064,311336,1193915020,1196644143,1193335485,675270
1065,311738,1193915415,1196755111,1193335661,675315
1065,313581,1193915588,1196892700,1193340684,675372
1066,314506,1194051239,1196893087,1193342241,675403
1067,314811,1194055696,1196893251,1193343117,675470
1068,315674,1194074611,1196893374,1193343442,675615
1068,316950,1194075617,1196913892,1193343723,675645
1070,317526,1194075845,1196914228,1193344016,675664
1072,317555,1194076969,1196914739,1193344119,675713
1076,317900,1194077296,1196922514,1193344821,675831
1082,319451,1194078641,1197105568,1193406515,675964
1085,320832,1194239995,1197106344,1193406719,676078
1085,321562,1194240564,1197106709,1193407827,676097
1086,322829,1194240902,1197106801,1193408105,676109
1086,323632,1194242225,1197145734,1193408556,676135
1088,323920,1194242560,1197271539,1193409000,676169
1088,324801,1194243619,1197272140,1193409232,676170
1089,326485,1194245376,1197273733,1193409512,676186
1091,327971,1194246016,1197308931,1193411016,676212
1096,328687,1194246352,1197309589,1193411733,676213
1099,331595,1194247743,1197309845,1193411929,676220
1101,332725,1194248821,1197310711,1193412494,676223
1102,333749,1194249198,1197311233,1193415468,676301
1102,334504,1194250229,1197312460,1193415716,676359
1106,335149,1194252273,1197313943,1193417698,676364
1109,336002,1194255949,1197314677,1193417745,676390
1111,337549,1194256178,1197317853,1193417983,676452
1114,339389,1194338223,1197318155,1193418235,676467
1114,340349,1194339930,1197318340,1193418311,676495
1114,342108,1194340587,1197319263,1193419104,676549
1115,343400,1194341033,1197319604,1193419155,676589
1115,344598,1194341453,1197319827,1193419261,676640
1115,344890,1194341644,1197320321,1193419308,676647
1117,345708,1194342187,1197320436,1193419487,676699
1117,346081,1194342486,1197320631,1193419727,676754
1118,347906,1194343019,1197320883,1193420354,676762
1119,348742,1194346321,1197321092,1193420673,676768
1125,349236,1194350296,1197321668,1193421693,676770
1125,350439,1194350839,1197322128,1193423283,676772
1130,351930,1194351228,1197323531,1193424148,676777
1130,354146,1194351833,1197337109,1193425465,676794
1137,355395,1194352693,1197337893,1193425882,676797
1137,357015,1194353064,1197344875,1193426115,676809
1139,358023,1194353854,1197395412,1193426828,676839
1143,358713,1194354202,1197395975,1193427364,676879
1149,359216,1194354698,1197443175,1193427563,676907
1151,360473,1194355318,1197444422,1193427662,676920
1151,361150,1194355455,1197445387,1193427859,676946
1153,362455,1194355872,1197446149,1193428204,677003
1155,365652,1194356375,1197478756,1193428819,677036
1155,366811,1194357242,1197531204,1193429196,677081
1156,367835,1194357793,1197531556,1193429837,677109
1157,369501,1194357969,1197536968,1193429931,677162
1158,370400,1194359822,1197568991,1193430507,677175
1160,371333,1194359927,1197569222,1193430639,677177
1164,372145,1194361053,1197569420,1193430865,677186
1169,373092,1194362458,1197569908,1193431396,677200
1169,374638,1194422455,1197570798,1193431785,677215
1171,374638,1194423171,1197571513,1193432033,677277
1172,375879,1194431589,1197571534,1193432131,677298
1175,376759,1194645233,1197571807,1193435990,677324
1175,377686,1194645868,1197615450,1193436696,677339
1176,378830,1194646191,1197655467,1193437608,677362
1179,379293,1194646741,1197655991,1193438571,677373
1180,380068,1194647108,1197656102,1193440313,677383
1182,380530,1194647480,1197656274,1193442380,677387
1182,380898,1194647903,1197656878,1193444237,677390
1183,381728,1194651076,1197657254,1193446984,677435
1184,381963,1194651694,1197753562,1193447567,677440
1201,383283,1194652199,1197755781,1193447709,677465
1202,384399,1194652909,1197876757,1193508001,677508
1202,385431,1194656739,1197876920,1193526513,677526
1208,386195,1194657751,1197877973,1193575360,677527
1208,387019,1194657940,1197878900,1193576404,677532
1209,387977,1194658200,1197879013,1193576723,677561
1209,389121,1194658643,1197880560,1193578446,677569
1211,389475,1194659469,1197881086,1193578618,677579
1219,390963,1194659997,1197881438,1193578679,677596
1222,391826,1194661001,1197882291,1193579297,677606
1222,392239,1194661769,1197882511,1193580644,677618
1223,393685,1194663292,1197882804,1193581362,677620
1227,394354,1194663468,1197883586,1193581690,677639
1227,395863,1194664439,1197915088,1193582447,677657
1231,397096,1194665465,1197915200,1193583355,677721
1231,398249,1194665619,1197915975,1193583813,677729
1233,398685,1194665899,1197916165,1193584729,677732
1237,399053,1194666245,1197917150,1193585011,677743
1237,400610,1194666508,1197917231,1193585330,677759
1237,400902,1194666863,1197917934,1193585725,677770
1241,402487,1194669767,1197942244,1193585790,677803
1248,402927,1194670360,1197942674,1193585967,677830
1255,404059,1194671716,1198002601,1193590167,677845
1257,404868,1194672247,1198003304,1193590925,677849
1257,405629,1194672674,1198051573,1193598392,677871
1259,406203,1194672987,1198051859,1193598957,677879
1267,406652,1194673439,1198052455,1193599094,677880
1268,407401,1194674202,1198053100,1193600615,677916
1269,407893,1194675076,1198054882,1193601044,677936
1272,408332,1194675165,1198055361,1193602070,677949
1273,409230,1194676883,1198055461,1193603200,677966
1273,410521,1194677550,1198055831,1193611242,678059
1275,410521,1194678284,1198055916,1193617334,678064
1276,411831,1194678661,1198056372,1193617669,678109
1277,411831,1194679440,1198056744,1193618010,678118
1279,411831,1194679952,1198057700,1193618917,678135
1280,414974,1194680375,1198058725,1193619497,678136
1280,416366,1194683384,1198059462,1193620602,678137
1280,417113,1194684242,1198059933,1193621020,678186
1281,418815,1194685169,1198060074,1193621200,678217
1283,420210,1194685709,1198061068,1193621573,678275
1284,421739,1194686226,1198061297,1193623095,678278
1286,423561,1194687583,1198092344,1193623269,678368
1289,424235,1194687621,1198092494,1193623624,678376
1289,425361,1194688093,1198092571,1193624067,678402
1290,426511,1194688866,1198093074,1193626359,678412
1291,426871,1194689651,1198093183,1193627240,678462
1291,428729,1194689829,1198094053,1193627859,678525
1293,429829,1194690325,1198095265,1193628044,678526
1293,430353,1194691055,1198121020,1193628609,678566
1295,431536,1194693271,1198121181,1193628871,678586
1295,432226,1194842840,1198121493,1193629078,678587
1298,432679,1194843073,1198121674,1193629841,678615
1300,433871,1194843969,1198125946,1193630212,678649
1300,434361,1194844577,1198128966,1193630835,678656
1300,434858,1194845211,1198129140,1193631048,678685
1301,435813,1194847765,1198129391,1193631070,678733
1303,436385,1194849166,1198129876,1193631176,678747
1303,437539,1194849417,1198135666,1193631973,678748
1304,439426,1194850843,1198137184,1193633509,678756
1305,440325,1194851807,1198137612,1193664983,678803
1306,440773,1194852568,1198177246,1193665212,678868
1306,442275,1194852914,1198177451,1193665617,678874
1306,442828,1194853572,1198177597,1193666876,678894
1310,443889,1194853724,1198178301,1193673524,678904
1310,444526,1194854395,1198179880,1193674540,678914
1314,446039,1194854846,1198207217,1193677480,678945
1319,446941,1194856197,1198222967,1193677997,678960
1319,447270,1194858463,1198223125,1193678636,678977
1320,447874,1194860597,1198223191,1193679405,679081
1323,449887,1194861037,1198223400,1193682771,679101
1327,451294,1194861942,1198228981,1193683668,679151
1328,452813,1194863653,1198230965,1193683734,679160
1329,453663,1194865553,1198231097,1193684944,679177
1331,454357,1194866685,1198231575,1193685914,679199
1332,455901,1194867090,1198231902,1193686023,679208
1336,456650,1194867383,1198231985,1193688926,679230
1336,458112,1194867728,1198237339,1193689018,679231
1337,458112,1194910872,1198267548,1193689483,679234
1339,458112,1194913420,1198438071,1193689661,679263
1340,460675,1194915005,1198438259,1193691066,679264
1341,461139,1194915230,1198571338,1193766468,679274
1341,463161,1194917611,1198572068,1193768434,679289
1343,463626,1194937698,1198572267,1193768823,679321
1343,464076,1194943098,1198572563,1193769010,679338
1343,464836,1194943373,1198658503,1193775096,679346
1344,466624,1194945367,1198658686,1193784228,679463
1344,467520,1194945553,1198658805,1193785962,679465
1344,468095,1194945953,1198659357,1193787595,679478
1345,469860,1194946375,1198659809,1193788145,679575
1346,471822,1194947506,1198660421,1193788786,679641
1347,472190,1194947878,1198661751,1193836224,679776
1348,473525,1194948054,1198712645,1193837421,679799
1349,474603,1194948333,1198732580,1193837935,679810
1350,475206,1194948563,1198743687,1193839403,679833
1351,475648,1194949439,1198800410,1193840651,679846
1352,475896,1194949525,1198800613,1193841070,679847
1352,476291,1194950062,1198800733,1193841333,679857
1353,478005,1194950913,1198864132,1193841510,679859
1354,478591,1194951076,1198864746,1193841961,679897
1356,479314,1194952746,1198865826,1193842284,679914
1356,479558,1195005563,1198866423,1193843580,679929
1358,480478,1195010443,1198867067,1193843719,679995
1359,480478,1195010920,1198867447,1193845142,680020
1360,483650,1195011474,1198868328,1193845696,680086
1360,484985,1195012254,1198868914,1193846226,680107
1361,485760,1195017957,1198869190,1193847007,680159
1361,485760,1195019037,1198869517,1193848225,680169
1361,489334,1195019908,1198870478,1193848409,680219
1365,489509,1195021650,1198901920,1193849187,680242
1367,490106,1195021850,1198903476,1193849496,680251
1368,490636,1195022842,1198905722,1193849795,680285
1372,491316,1195023897,1198907782,1193856729,680318
1374,491316,1195024341,1198908945,1193856866,680381
1375,493300,1195024668,1198909005,1193857446,680445
1377,493629,1195025368,1198909274,1193860686,680448
1380,494344,1195025472,1198921901,1193861694,680461
1382,496399,1195025600,1198955341,1193862391,680462
1383,497279,1195026284,1198955664,1193862568,680536
1384,498238,1195026750,1198962471,1193864007,680551
1385,499349,1195027356,1198962766,1193864714,680572
1386,500786,1195027576,1198962983,1193868972,680613
1387,500786,1195027771,1198963730,1193869806,680619
1387,502700,1195028160,1198963803,1193872885,680671
1389,504138,1195028749,1198967167,1193873175,680686
1389,505827,1195029190,1198967357,1193873354,680687
1389,506510,1195029927,1198968248,1193873691,680720
1389,507388,1195030890,1198968460,1193873735,680725
1390,508099,1195032580,1198979209,1193873846,680766
1390,508099,1195033009,1198980454,1193873934,680791
1391,510865,1195034334,1198980847,1193874122,680829
1399,511800,1195034752,1198983517,1193874380,680843
